Currency,Date,Open,High,Low,Close,Volume,Market Cap,Name
BTC,"Jun 03, 2021",37599.4099404300,39478.95118,37243.97373,39208.76599,3.546075043e+10,7.342243322e+11,bitcoin
BTC,"Jun 04, 2021",39242.4862619700,39242.48626,35717.7223,36894.40533,4.183109019e+10,6.909150721e+11,bitcoin
BTC,"Jun 05, 2021",36880.1559705300,37917.71415,34900.41224,35551.95873,3.59594734e+10,6.658046398e+11,bitcoin
BTC,"Jun 06, 2021",35538.6087299800,36436.42096,35304.58008,35862.37773,2.891344058e+10,6.716525579e+11,bitcoin
BTC,"Jun 07, 2021",35835.2655097500,36790.57216,33480.64124,33560.70784,3.368393666e+10,6.285729618e+11,bitcoin
BTC,"Jun 08, 2021",33589.5208563500,34017.38798,31114.44247,33472.63175,4.990205044e+10,6.269549449e+11,bitcoin
BTC,"Jun 09, 2021",33416.9778508800,37537.37115,32475.86603,37345.12149,5.397291901e+10,6.995161387e+11,bitcoin
BTC,"Jun 10, 2021",37389.5156508700,38334.32544,35847.59364,36702.59937,4.357603285e+10,6.875094212e+11,bitcoin
BTC,"Jun 11, 2021",36697.0312927900,37608.69429,36044.44991,37334.39953,3.869973699e+10,6.993687298e+11,bitcoin
BTC,"Jun 12, 2021",37340.1428441900,37408.9256,34728.1901,35552.51715,3.792422855e+10,6.660181738e+11,bitcoin
BTC,"Jun 13, 2021",35555.7901404200,39322.78021,34864.10994,39097.8609,4.066911284e+10,7.324656599e+11,bitcoin
BTC,"Jun 14, 2021",39016.9701778000,40978.36448,38757.28412,40218.47786,4.314891467e+10,7.534710625e+11,bitcoin
BTC,"Jun 15, 2021",40427.1699211600,41295.26857,39609.4692,40406.26899,4.642014919e+10,7.570298747e+11,bitcoin
BTC,"Jun 16, 2021",40168.6903702700,40516.77683,38176.03418,38347.06323,3.92116351e+10,7.184947736e+11,bitcoin
BTC,"Jun 17, 2021",38341.4238025200,39513.67016,37439.67411,38053.50417,3.709667005e+10,7.130256318e+11,bitcoin
BTC,"Jun 18, 2021",38099.4770546300,38187.26016,35255.85492,35787.24478,3.620088727e+10,6.705894449e+11,bitcoin
BTC,"Jun 19, 2021",35854.5292228800,36457.79628,34933.06225,35615.86927,3.120727972e+10,6.674008593e+11,bitcoin
BTC,"Jun 20, 2021",35563.1394149900,36059.48352,33432.07604,35698.29644,3.666403405e+10,6.689688688e+11,bitcoin
BTC,"Jun 21, 2021",35641.1460647400,35721.63963,31295.93553,31676.69373,5.280903859e+10,5.936275759e+11,bitcoin
BTC,"Jun 22, 2021",31622.3770852800,33292.45476,28893.62166,32505.65982,5.896435306e+10,6.091806394e+11,bitcoin
BTC,"Jun 23, 2021",32515.7143031900,34753.4085,31772.63236,33723.02898,4.631710892e+10,6.320112784e+11,bitcoin
BTC,"Jun 24, 2021",33682.8004037600,35228.85261,32385.2147,34662.43589,3.312336812e+10,6.496439974e+11,bitcoin
BTC,"Jun 25, 2021",34659.1044994800, 35487.248,31350.88386,31637.78006,4.023090423e+10,5.929782112e+11,bitcoin
BTC,"Jun 26, 2021",31594.6635713200,32637.58719,30184.50179,32186.27767,3.858538552e+10,6.032760283e+11,bitcoin
BTC,"Jun 27, 2021",32287.5232110800,34656.12736,32071.75715,34649.64459,3.551164089e+10,6.49461677e+11,bitcoin
BTC,"Jun 28, 2021",34679.1222220500,35219.89179,33902.07589,34434.33531,3.389252375e+10,6.454427595e+11,bitcoin
BTC,"Jun 29, 2021",34475.5596966500,36542.11102,34252.48489,35867.77774,3.790146004e+10,6.723334234e+11,bitcoin
BTC,"Jun 30, 2021",35908.3880541400,36074.75976,34086.15188,35040.83725,3.40590361e+10,6.568525132e+11,bitcoin
BTC,"Jul 01, 2021",35035.9827122700,35035.98271,32883.78123,33572.11765,3.783895708e+10,6.293393253e+11,bitcoin
BTC,"Jul 02, 2021",33549.6001774000,33939.5887,32770.68078,33897.04859,3.872897494e+10,6.354507841e+11,bitcoin
BTC,"Jul 03, 2021",33854.4213615500,34909.2599,33402.69654,34668.5484,2.438395864e+10,6.499397013e+11,bitcoin
BTC,"Jul 04, 2021",34665.5648660800,35937.56715,34396.47746,35287.77977,2.492430791e+10,6.615748363e+11,bitcoin
BTC,"Jul 05, 2021",35284.3444300700,35284.34443,33213.66103,33746.00246,2.672155428e+10,6.326962072e+11,bitcoin
BTC,"Jul 06, 2021",33723.5096551500,35038.53636,33599.91617,34235.19345,2.650125987e+10,6.418991616e+11,bitcoin
BTC,"Jul 07, 2021",34225.6803342500,34997.66476,33839.28916,33855.32689,2.479602748e+10,6.348028172e+11,bitcoin
BTC,"Jul 08, 2021",33889.6063474000,33907.90805,32133.18273,32877.37263,2.991039695e+10,6.164928527e+11,bitcoin
BTC,"Jul 09, 2021",32861.6712939900,34042.29177,32318.88036,33798.01021,2.743602103e+10,6.337840728e+11,bitcoin
BTC,"Jul 10, 2021",33811.2430202600,34209.0702,33116.01311,33520.51995,2.297187347e+10,6.286153388e+11,bitcoin
BTC,"Jul 11, 2021",33509.0772617000,34584.70455,33346.73772,34240.18701,2.010872937e+10,6.421381046e+11,bitcoin
BTC,"Jul 12, 2021",34254.0165945800,34592.1556,32697.30865,33155.84813,2.432149954e+10,6.218279849e+11,bitcoin
BTC,"Jul 13, 2021",33125.4686939500,33327.10142,32261.42048,32702.02592,1.912085667e+10,6.133436648e+11,bitcoin
BTC,"Jul 14, 2021",32723.8460518200,33061.39896,31639.12411,32822.34874,2.137653121e+10,6.156350427e+11,bitcoin
BTC,"Jul 15, 2021",32827.8745489100,33159.64095,31175.70975,31780.73137,2.130052424e+10,5.961244627e+11,bitcoin
BTC,"Jul 16, 2021",31841.5513244500,32218.40661,31100.67337,31421.53845,2.369947692e+10,5.894158074e+11,bitcoin
BTC,"Jul 17, 2021",31397.3086001300,31935.94439,31223.99087,31533.06753,1.889501894e+10,5.915364764e+11,bitcoin
BTC,"Jul 18, 2021",31533.8847205000,32398.99519,31215.49231,31796.81014,1.878798667e+10,5.965133093e+11,bitcoin
BTC,"Jul 19, 2021",31800.0126352100,31885.85993,30563.73535,30817.83166,2.043478954e+10,5.781781473e+11,bitcoin
BTC,"Jul 20, 2021",30838.2852537500,31006.18663,29360.95584,29807.34767,2.314826724e+10,5.592443244e+11,bitcoin
BTC,"Jul 21, 2021",29796.2856898600,32752.32636,29526.18371,32110.69326,2.820302456e+10,6.024893092e+11,bitcoin
BTC,"Jul 22, 2021",32138.8728077400,32576.40001,31745.29924,32313.10632,1.955523052e+10,6.063168583e+11,bitcoin
BTC,"Jul 23, 2021",32305.9588521400,33581.55061,32057.89354,33581.55061,2.255204619e+10,6.301477227e+11,bitcoin
BTC,"Jul 24, 2021",33593.7294122400,34490.39124, 33424.859,34292.44591,2.166470687e+10,6.435185287e+11,bitcoin
BTC,"Jul 25, 2021",34290.2913851800,35364.92558,33881.83745,35350.18697,2.085668529e+10,6.634019351e+11,bitcoin
BTC,"Jul 26, 2021",35384.0298845100,40499.67728,35287.31171,37337.53331,5.102212621e+10,7.007344714e+11,bitcoin
BTC,"Jul 27, 2021",37276.0360297200,39406.94098,36441.72631,39406.94098,3.509737056e+10,7.396121274e+11,bitcoin
BTC,"Jul 28, 2021",39503.1856943500,40816.06972,38862.43592,39995.90647,3.87024047e+10,7.507066461e+11,bitcoin
BTC,"Jul 29, 2021",39995.4519908800,40593.07226,39352.05977,40008.42085,2.716714603e+10,7.509807841e+11,bitcoin
BTC,"Jul 30, 2021",40027.4833199000,42235.54771,38397.35451,42235.54771,3.307278296e+10,7.928298633e+11,bitcoin
BTC,"Jul 31, 2021",42196.3038867200,42231.44828,41110.83251,41626.19568,2.580284534e+10,7.814313798e+11,bitcoin
BTC,"Aug 01, 2021",41460.8440813300,42541.67948,39540.94008,39974.89603,2.668843812e+10,7.504724282e+11,bitcoin
